id,EAP,HPL,MWS
id02310,0.005083297281287088,5.1701906569801256e-05,0.994865000812143
id24541,0.9979565937529284,0.001975304295988139,6.810195108344978e-05
id00134,1.3739033270133645e-06,0.984893235391071,0.015105390705601855
id27757,0.2906971108287079,0.7086047523214588,0.0006981368498332776
id04081,0.06405281654256598,0.0012519752750333839,0.9346952081824007
id27337,0.997913168331832,0.0010658441889521333,0.0010209874792158698
id24265,0.9979075688851795,0.002090930417854147,1.5006969665017617e-06
id25917,1.6122349551512029e-06,0.891944571023821,0.1080538167412238
id04951,0.9999692775009535,3.0664615258671006e-05,5.788378775326919e-08
id14549,0.9901800604862208,1.5665785619125114e-06,0.009818372935217395
id22505,2.216378363468596e-06,0.024270901911536993,0.9757268817100996
id24002,7.531544963083817e-07,0.9789360914464508,0.021063155399052902
id18982,7.033138829559228e-05,0.13381768164842023,0.8661119869632843
id15181,0.0003361434080348738,0.9994186884116799,0.00024516818028524163
id21888,0.4982739285569118,1.0000908312737708e-05,0.5017160705347753
id12035,1.0005414035264515e-05,7.629817887760876e-08,0.9999899182877858
id17991,0.12232630689625176,7.132814320752485e-05,0.8776023649605407
id10707,0.9998765830753944,0.00012241351383026846,1.0034107753723652e-06
id07101,0.9720220903840315,0.0011166505124885577,0.026861259103479838
id00345,0.601490485035883,0.3985054421878921,4.072776224919261e-06
id05912,0.9996536781646899,0.00013898319639196621,0.00020733863891820632
id13443,0.9221923389547652,0.0016972494377790373,0.0761104116074558
id09248,0.017974995200055417,5.662483394746158e-05,0.9819683799659971
id17542,0.0006802637830458217,0.9683544369865734,0.03096529923038072
id06995,0.14835330470697708,6.895846637998942e-06,0.8516397994463849
id25159,0.031956276439913466,1.724183842896037e-06,0.9680419993762436
id25729,0.2461721868981111,0.31990931720459737,0.43391849589729165
id26949,0.9979750024563969,8.82057410198598e-05,0.001936791802583154
id27191,2.5230577585440963e-05,1.8381156314697766e-06,0.9999729313067831
id07668,0.009619980207846001,5.826761400366181e-06,0.9903741930307537
id02230,0.0003576697232042963,0.006769455109819465,0.9928728751669762
id15553,0.9999899013058604,3.014155423603576e-06,7.084538716052632e-06
id25688,4.202075087500231e-06,0.919759348616759,0.08023644930815346
id17545,0.83583308381855,0.1640992315618394,6.768461961044852e-05
id13929,0.006898324940911819,0.07029915515807524,0.9228025199010129
id12880,0.00232010344625791,0.6327235688713334,0.36495632768240865
id19282,0.9965470203407327,0.002559036276380971,0.0008939433828860967
id14690,2.1365522740730283e-07,0.00013301926650645713,0.9998667670782663
id17975,0.05903312487678354,0.9386367419501146,0.0023301331731018665
id08037,0.9913405706074266,0.0008558272791345564,0.007803602113438767
id15412,0.1984995951105656,2.2380885497602322e-05,0.8014780240039369
id25032,0.6781221208300786,0.0006811775467314449,0.32119670162318986
id27165,0.9950552859054929,0.004879717222802588,6.499687170448455e-05
id03327,0.9907724084527604,0.007375647166796134,0.0018519443804434163
id18515,0.9960467192884066,0.002508505464280032,0.0014447752473134075
id21003,0.014914219656788127,0.004772638600382883,0.9803131417428289
id23855,7.541372202838466e-08,0.9972907836868653,0.0027091408994126486
id20724,0.920844127581077,0.07762408878580193,0.001531783633121048
id13303,0.6308162496248274,0.0008799056566230228,0.36830384471854954
id16521,5.574500564628156e-06,0.16475759787884947,0.8352368276205858
id20775,0.9999532945892009,4.520956231687185e-05,1.4958484821235536e-06
id13029,0.8862416921277061,0.0035266961975860558,0.1102316116747078
id14660,0.983708212386472,0.016288885521020844,2.902092507213106e-06
id11028,1.3034953377937965e-06,2.793502211653162e-07,0.9999984171544409
id14180,0.9993345729784807,0.0006518327249872115,1.359429653225878e-05
id25860,0.9998491872224573,3.652613388219784e-05,0.00011428664366037124
id11910,0.030431910136755093,1.4598108471846858e-05,0.969553491754773
id08065,4.490781035341886e-05,0.000977526066469967,0.9989775661231767
id22674,1.1939671731884308e-05,6.725446777120197e-05,0.9999208058604969
id25018,0.3491387838218968,1.6599475375899962e-07,0.6508610501833495
id10892,0.0002430993753457348,0.9997258408326107,3.105979204363541e-05
id10217,0.5271381134137029,0.4724974621356185,0.00036442445067870336
id12996,0.06502287342887403,0.03597015788312993,0.899006968687996
id18262,0.8995818777046467,0.0009212872281733996,0.0994968350671799
id08606,0.0109838089592472,0.9889636272383584,5.256380239442944e-05
id17233,0.9988655991256806,0.0005259623216642476,0.000608438552655053
id00101,0.60651442993189,0.3887719327694175,0.004713637298692509
id12225,0.9020562960209875,0.04331106679317051,0.05463263718584213
id01364,8.229601573895047e-05,0.999788288200372,0.000129415783888969
id24973,0.7357876166625502,4.88461011123332e-07,0.2642118948764386
id25363,0.0034849185054077344,2.172093228327626e-05,0.9964933605623091
id10061,0.054847183270404394,7.380306281999626e-05,0.9450790136667756
id17673,0.02028013067695758,0.038664889889408374,0.941054979433634
id13249,0.000783080926673045,0.018773779933533467,0.9804431391397935
id10107,0.01619173240672625,1.9238375279878605e-05,0.9837890292179939
id04403,0.979028543409705,2.4054615858966838e-05,0.02094740197443596
id25728,0.9375168848338246,0.014257863501630962,0.04822525166454455
id16184,1.1785165503508438e-05,0.014107824992923602,0.9858803898415729
id03438,0.034048770502338004,4.370124855582594e-06,0.9659468593728064
id22923,0.01314099449182198,0.9867752778099548,8.372769822323421e-05
id08610,0.9993172101762392,0.0006368893574796499,4.590046628114792e-05
id25355,0.0015493285311138226,2.667334467098054e-05,0.9984239981242152
id16916,0.6265772902248476,0.37341802736205626,4.682413096185227e-06
id12793,0.0016983018263118893,0.9528916075368089,0.04541009063687912
id11859,0.6420784118920622,3.481709162401494e-05,0.35788677101631383
id02434,0.9990906080315078,1.0777833335289489e-05,0.0008986141351568284
id27703,3.434783356389704e-07,6.606741974856216e-06,0.9999930497796896
id25212,3.0089679912421262e-05,0.9878431584983038,0.012126751821783723
id11308,1.4979523391648867e-05,0.0004636721914790532,0.9995213482851293
id26094,0.9991313379842288,0.0007485901334369986,0.00012007188233408468
id22080,0.5331795130679821,0.4668177438409737,2.743091044416622e-06
id03545,0.9574844714600673,0.0424011054125896,0.00011442312734284483
id23725,9.152044170357808e-06,0.00017097378701597959,0.9998198741688136
id12009,0.969300812055794,0.029319746133543857,0.0013794418106621638
id24241,2.1566875135471712e-05,0.9530146016255736,0.04696383149929092
id03596,3.8514698623400894e-05,0.9999461253732658,1.5359928110890455e-05
id10749,0.00014205886855443551,0.9855156280200901,0.01434231311135561
id22794,2.5259527139688968e-06,0.0006013371842040152,0.999396136863082
id15482,0.0003726579722531172,0.15801875461791026,0.8416085874098367
id04833,0.8138648042319777,0.1571897232675265,0.028945472500495777
